contentType;keyword;upLeftCorner;bottomRightCorner
supplier.name;;(433, 389);(962, 332)
supplier.address.street;;(275, 329);(704, 383)
supplier.address.postalCode;;(704, 335);(815, 386)
supplier.address.city;;(809, 329);(944, 383)
supplier.phoneNumber;TEL;(431, 392);(785, 449)
supplier.website;;(419, 509);(794, 585)
client.firstName;;(1489, 884);(1663, 941)
client.lastName;;(1660, 893);(1843, 941)
client.address.street;;(1483, 956);(2032, 1016)
client.address.postalCode;;(1480, 1019);(1624, 1091)
client.address.city;;(1624, 1016);(1888, 1091)
client.address.country;;(1477, 1091);(1657, 1157)
client.number;n° client;(1384, 584);(1798, 687)
documentInfo.factureNumber;FACTURE N°;(1381, 218);(1810, 305)
